filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,ExtracellularBackground,RawMitoIntDen,RawMitoMean,MitoVolume_um3,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY027 25C 20 06 m-50.csv,191000000,833.68,272.1,GTY027 25C 20,684.89,7273059.45,1014.0750134016879,8.5437,34001645.25069286,2362020.6592760566,0.06946783433157327,329.1850134016879,-50,25
GTY027 25C 20 07 m-25.csv,160000000,771.96,246.02,GTY027 25C 20,684.89,1759694.9000000001,886.491744742076,2.3631,17990225.41362225,400105.04997060535,0.022240135449756216,201.601744742076,-25,25
GTY027 25C 20 07 m-35.csv,160000000,771.96,246.02,GTY027 25C 20,684.89,2352368.57,875.4617748240814,3.1975,17990225.41362225,511760.5190224241,0.028446587369323213,190.57177482408144,-35,25
GTY027 25C 20 07 m-50.csv,160000000,771.96,246.02,GTY027 25C 20,684.89,3899548.88,861.3920971629891,5.393,17990225.41362225,799425.3884269759,0.04443665212897493,176.50209716298912,-50,25
GTY027 25C 3 01 m-25.csv,220000000,915.26,285.8,GTY027 25C 3,668.45,3837605.57,1324.7183932714618,3.448,59241033.0057949,1900405.996472663,0.03207921773218855,656.2683932714617,-25,25
GTY027 25C 3 01 m-35.csv,220000000,915.26,285.8,GTY027 25C 3,668.45,4413608.82,1316.705032548823,3.994,59241033.0057949,2174460.9053497934,0.03670531715976475,648.255032548823,-35,25
GTY027 25C 3 01 m-50.csv,220000000,915.26,285.8,GTY027 25C 3,668.45,5556298.38,1303.025047355959,5.068,59241033.0057949,2700954.3461829177,0.045592627426309616,634.575047355959,-50,25
GTY027 25C 3 02 m-25.csv,164000000,926.45,211.34,GTY027 25C 3,668.45,2173692.36,1274.894869218265,2.0301,45792995.71680524,1033966.3466868227,0.02257913749694639,606.444869218265,-25,25
GTY027 25C 3 02 m-35.csv,164000000,926.45,211.34,GTY027 25C 3,668.45,2642985.91,1265.1912570281124,2.49,45792995.71680524,1247909.4062316285,0.02725109783052842,596.7412570281124,-35,25
GTY027 25C 3 02 m-50.csv,164000000,926.45,211.34,GTY027 25C 3,668.45,3498591.81,1251.7520252403847,3.3280000000000003,45792995.71680524,1630325.9763164527,0.035602081733171066,583.3020252403846,-50,25
