filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 04 m-25.csv,ROIs 1,1,200.56,442,886,608.77,103000000,45.89,227,2744,494.99,83377243,235.2,332.61,2777.64,609.54,103000000,103.71,2.05,36748.09,534.74,90071552,1208.54,NA,NA,NA,GTY030 I 25C,ROIs,Object,5,NA
GTY030 I 25C 04 m-25.csv,Mito 1,2,0.0893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636.83,793.8,698,52349.96,34.63,NA,NA,NA,NA,NA,66.05,15.85,0.904,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-25.csv,Mito 2,3,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.94,892.78,747.85,175744.36,60.15,NA,NA,NA,NA,NA,64.84,16.89,0.931,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-25.csv,Mito 12,13,0.0941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.92,958.95,808.28,63853.97,68.19,NA,NA,NA,NA,NA,66.89,17.75,1.43,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-25.csv,Mito 18,19,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.54,1376.02,762.69,2275873.25,138.26,NA,NA,NA,NA,NA,65.49,17.29,3.05,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-25.csv,Mito 21,22,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.35,1076.85,764.68,315049.94,130.84,NA,NA,NA,NA,NA,69.3,16.41,2.91,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-35.csv,ROIs 1,1,200.56,442,886,608.77,103000000,45.89,227,2744,494.99,83377243,235.2,332.61,2777.64,609.54,103000000,103.71,2.05,36748.09,534.74,90071552,1208.54,NA,NA,NA,GTY030 I 25C,ROIs,Object,5,NA
GTY030 I 25C 04 m-35.csv,Mito 1,2,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.05,793.8,695.67,63305.91,35.02,NA,NA,NA,NA,NA,66.05,15.87,0.89,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-35.csv,Mito 2,3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.94,892.78,745.76,200610.33,60.27,NA,NA,NA,NA,NA,64.84,16.88,0.941,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-35.csv,Mito 7,8,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.54,958.95,811.18,77873.64,71.01,NA,NA,NA,NA,NA,66.9,17.75,1.4,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-35.csv,Mito 13,14,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.66,1076.85,757.44,347664.81,134.77,NA,NA,NA,NA,NA,69.3,16.41,2.92,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-35.csv,Mito 21,22,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.54,1376.02,759.55,2516387.25,137.85,NA,NA,NA,NA,NA,65.5,17.28,3.05,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-50.csv,ROIs 1,1,200.56,442,886,608.77,103000000,45.89,227,2744,494.99,83377243,235.2,332.61,2777.64,609.54,103000000,103.71,2.05,36748.09,534.74,90071552,1208.54,NA,NA,NA,GTY030 I 25C,ROIs,Object,4,NA
