filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 I 25C 11 02 m-25.csv,157000000,597.94,313.01,GTY030 I 25C 11,2171396.87,816.718494623656,3.162,540.64,15062965.482489308,733148.7360376253,0.04867227086790516,276.07849462365607,-25,25
GTY030 I 25C 11 02 m-35.csv,157000000,597.94,313.01,GTY030 I 25C 11,2514686.04,815.9681692056583,3.676,540.64,15062965.482489308,850009.532207945,0.05643042422131822,275.32816920565836,-35,25
GTY030 I 25C 11 02 m-50.csv,157000000,597.94,313.01,GTY030 I 25C 11,3170445.75,807.2808294142797,4.678,540.64,15062965.482489308,1047573.5281767029,0.06954630078615706,266.64082941427966,-50,25
GTY030 I 25C 11 03 m-25.csv,112000000,580.71,230.24,GTY030 I 25C 11,1385821.53,724.0271020228671,2.274,540.64,7748145.460653407,350232.86302175175,0.045202153831559115,183.3871020228671,-25,25
GTY030 I 25C 11 03 m-35.csv,112000000,580.71,230.24,GTY030 I 25C 11,1634599.41,718.8216722037652,2.709,540.64,7748145.460653407,405386.8732678255,0.05232050370330024,178.18167220376517,-35,25
GTY030 I 25C 11 03 m-50.csv,112000000,580.71,230.24,GTY030 I 25C 11,2137445.75,712.244220979021,3.575,540.64,7748145.460653407,515230.6122448979,0.06649728181554404,171.60422097902097,-50,25
GTY030 I 25C 11 04 m-25.csv,148000000,610.46,287.7,GTY030 I 25C 11,2211945.4899999998,797.6644544738596,3.3014,540.64,16870088.183421526,712640.0722264214,0.042242818441621595,257.0244544738596,-25,25
GTY030 I 25C 11 04 m-35.csv,148000000,610.46,287.7,GTY030 I 25C 11,2535091.13,790.9472034564022,3.819,540.64,16870088.183421526,802824.5653817084,0.04758864071443654,250.30720345640225,-35,25
GTY030 I 25C 11 04 m-50.csv,148000000,610.46,287.7,GTY030 I 25C 11,3113764,782.740270156184,4.738,540.64,16870088.183421526,963358.5957839926,0.05710453824009638,242.10027015618402,-50,25
GTY030 I 25C 11 05 m-25.csv,151000000,628.18,286.9,GTY030 I 25C 11,2548731.0500000003,801.5211877111487,3.7887999999999997,540.64,21092824.389014855,830122.317964223,0.039355673884837857,260.88118771114875,-25,25
GTY030 I 25C 11 05 m-35.csv,151000000,628.18,286.9,GTY030 I 25C 11,2916348.29,797.8732753109981,4.3489,540.64,21092824.389014855,939516.0754178213,0.044541975891437345,257.2332753109981,-35,25
GTY030 I 25C 11 05 m-50.csv,151000000,628.18,286.9,GTY030 I 25C 11,3592662.8099999996,786.0659564369549,5.4358,540.64,21092824.389014855,1120421.9484336942,0.05311863066651283,245.42595643695495,-50,25
GTY030 I 25C 11 06 m-25.csv,171000000,636.69,320.06,GTY030 I 25C 11,3328637.7199999997,790.3167590745911,5.014,540.64,25818227.093306474,1051380.927185689,0.040722429289432725,249.67675907459113,-25,25
GTY030 I 25C 11 06 m-35.csv,171000000,636.69,320.06,GTY030 I 25C 11,3726851.21,795.0859915838482,5.584499999999999,540.64,25818227.093306474,1193376.7027798777,0.04622225602350781,254.44599158384824,-35,25
GTY030 I 25C 11 06 m-50.csv,171000000,636.69,320.06,GTY030 I 25C 11,4475199.16,788.9099437620246,6.757000000000001,540.64,25818227.093306474,1408885.5379188713,0.05456941457781712,248.26994376202458,-50,25
GTY030 I 25C 11 07 m-25.csv,137000000,595.26,274.55,GTY030 I 25C 11,1989858.3,762.6972375672801,3.1027,540.64,12594205.929285295,578631.8896447469,0.04594429318479339,222.05723756728014,-25,25
GTY030 I 25C 11 07 m-35.csv,137000000,595.26,274.55,GTY030 I 25C 11,2326370.02,760.0021497637623,3.6404,540.64,12594205.929285295,670669.3289661547,0.053252212384954575,219.36214976376232,-35,25
GTY030 I 25C 11 07 m-50.csv,137000000,595.26,274.55,GTY030 I 25C 11,2981397.22,765.431067500539,4.6370000000000005,540.64,12594205.929285295,875414.6132527081,0.06950931389942634,224.79106750053904,-50,25
GTY030 I 25C 12 01 m-25.csv,128000000,668.21,228.77,GTY030 I 25C 12,1232994.28,2262.248404747226,0.6487999999999999,538.55,24911663.89518772,939225.2666498699,0.037702229389475005,1723.6984047472258,-25,25
GTY030 I 25C 12 01 m-35.csv,128000000,668.21,228.77,GTY030 I 25C 12,1461539.84,2221.119094387755,0.784,538.55,24911663.89518772,1107864.4242882337,0.04447171529567096,1682.569094387755,-35,25
GTY030 I 25C 12 01 m-50.csv,128000000,668.21,228.77,GTY030 I 25C 12,2038221.4400000002,2118.730012215339,1.1461,538.55,24911663.89518772,1520991.2757201642,0.061055386830824246,1580.1800122153388,-50,25
