filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 II 25C 4 01 m-25.csv,GTY029 II 25C 4,255.26,668.76,185.77,530.85,921.3282092308852,5.3061,198.7128205273176,390.4782092308852,137.90999999999997,2.831398805241718,-25,25
GTY029 II 25C 4 01 m-35.csv,GTY029 II 25C 4,255.26,668.76,185.77,530.85,912.1043571193687,6.082,201.86754685958567,381.2543571193687,137.90999999999997,2.7645156777562816,-35,25
GTY029 II 25C 4 01 m-50.csv,GTY029 II 25C 4,255.26,668.76,185.77,530.85,899.2863206186919,7.629,204.78945340149428,368.43632061869187,137.90999999999997,2.6715707390232177,-50,25
GTY029 II 25C 4 02 m-25.csv,GTY029 II 25C 4,226.81,677.67,199.62,530.85,1060.2996404022044,1.7603,331.0373976026814,529.4496404022044,146.81999999999994,3.606113883682091,-25,25
GTY029 II 25C 4 02 m-35.csv,GTY029 II 25C 4,226.81,677.67,199.62,530.85,1047.8290050778896,2.3238,353.5025768138394,516.9790050778896,146.81999999999994,3.521175623742609,-35,25
GTY029 II 25C 4 02 m-50.csv,GTY029 II 25C 4,226.81,677.67,199.62,530.85,1033.751381294964,3.475,354.79410935251803,502.9013812949639,146.81999999999994,3.4252920671227636,-50,25
GTY029 II 25C 4 03 m-25.csv,GTY029 II 25C 4,234.1,730.8,328.63,530.85,1027.9802805662807,3.885,236.156694980695,497.1302805662807,199.94999999999993,2.486272971074173,-25,25
GTY029 II 25C 4 03 m-35.csv,GTY029 II 25C 4,234.1,730.8,328.63,530.85,1026.666736410699,4.636,253.25346635030195,495.81673641069904,199.94999999999993,2.479703607955485,-35,25
GTY029 II 25C 4 03 m-50.csv,GTY029 II 25C 4,234.1,730.8,328.63,530.85,1021.1434224855863,6.244,270.01968289557976,490.29342248558623,199.94999999999993,2.452080132461047,-50,25
GTY029 II 25C 4 04 m-25.csv,GTY029 II 25C 4,193.68,729.11,226.59,530.85,1004.7143298675402,7.021,202.83027488961687,473.86432986754016,198.26,2.3901156555409067,-25,25
GTY029 II 25C 4 04 m-35.csv,GTY029 II 25C 4,193.68,729.11,226.59,530.85,999.1865336658354,8.02,202.5179251870324,468.3365336658354,198.26,2.3622341050430515,-35,25
GTY029 II 25C 4 04 m-50.csv,GTY029 II 25C 4,193.68,729.11,226.59,530.85,990.7128043308621,10.252,217.298214007023,459.8628043308621,198.26,2.319493616114507,-50,25
GTY029 II 25C 5 01 m-25.csv,GTY029 II 25C 5,308.24,683.47,163.57,533.72,1022.8701172681061,3.9738,173.32146912275402,489.1501172681061,149.75,3.2664448565482878,-25,25
GTY029 II 25C 5 01 m-35.csv,GTY029 II 25C 5,308.24,683.47,163.57,533.72,1015.1537435579411,4.6763,175.57850394542692,481.43374355794106,149.75,3.2149164845271523,-35,25
GTY029 II 25C 5 01 m-50.csv,GTY029 II 25C 5,308.24,683.47,163.57,533.72,1001.5001735933662,6.0659,179.7679579287492,467.78017359336616,149.75,3.1237407251643816,-50,25
GTY029 II 25C 5 02 m-25.csv,GTY029 II 25C 5,299.58,660.19,163.77,533.72,948.4207764265669,1.8173,174.74476806251033,414.7007764265669,126.47000000000003,3.2790446463712093,-25,25
GTY029 II 25C 5 02 m-35.csv,GTY029 II 25C 5,299.58,660.19,163.77,533.72,937.7577156825556,2.3727,166.74077043031144,404.0377156825556,126.47000000000003,3.1947316808931405,-35,25
GTY029 II 25C 5 02 m-50.csv,GTY029 II 25C 5,299.58,660.19,163.77,533.72,919.379594395851,3.8757,180.91113527878835,385.65959439585095,126.47000000000003,3.0494156273887154,-50,25
GTY029 II 25C 5 03 m-25.csv,GTY029 II 25C 5,277.6,702.06,181.27,533.72,994.0736664677804,3.3520000000000003,193.37266109785202,460.3536664677804,168.33999999999992,2.7346659526421564,-25,25
GTY029 II 25C 5 03 m-35.csv,GTY029 II 25C 5,277.6,702.06,181.27,533.72,989.4059154564314,3.856,195.11950466804976,455.6859154564314,168.33999999999992,2.70693783685655,-35,25
GTY029 II 25C 5 03 m-50.csv,GTY029 II 25C 5,277.6,702.06,181.27,533.72,977.387345043408,4.953,196.89786392085605,443.667345043408,168.33999999999992,2.6355432163681134,-50,25
GTY029 II 25C 5 04 m-25.csv,GTY029 II 25C 5,211.04,668.33,167.42,533.72,989.6170171421235,4.6727,216.27001605067733,455.89701714212345,134.61,3.3867990278740314,-25,25
GTY029 II 25C 5 04 m-35.csv,GTY029 II 25C 5,211.04,668.33,167.42,533.72,978.5173388882109,5.7367,216.0224911534506,444.7973388882109,134.61,3.3043409768086387,-35,25
GTY029 II 25C 5 04 m-50.csv,GTY029 II 25C 5,211.04,668.33,167.42,533.72,958.0025866136845,8.052999999999999,210.7032484788278,424.28258661368443,134.61,3.151939578141924,-50,25
GTY029 II 25C 5 05 m-25.csv,GTY029 II 25C 5,229.63,722.09,227.67,533.72,1264.618201435213,3.9576,400.517985395189,730.898201435213,188.37,3.880119984260832,-25,25
GTY029 II 25C 5 05 m-35.csv,GTY029 II 25C 5,229.63,722.09,227.67,533.72,1241.5264058218409,4.4522,407.97128183819234,707.8064058218408,188.37,3.7575325466997973,-35,25
