filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 I 25C 10 04 m-25.csv,GTY029 I 25C 10,200.72,751.32,249.97,535.97,1079.2366846768964,4.627,214.98393991787336,543.2666846768964,215.35000000000002,2.522715043774768,-25,25
GTY029 I 25C 10 04 m-35.csv,GTY029 I 25C 10,200.72,751.32,249.97,535.97,1073.459852412488,5.285,221.36849952696306,537.4898524124881,215.35000000000002,2.4958897256210264,-35,25
GTY029 I 25C 10 04 m-50.csv,GTY029 I 25C 10,200.72,751.32,249.97,535.97,1055.7445431771296,6.786,225.94651635720604,519.7745431771295,215.35000000000002,2.413626854781191,-50,25
GTY029 I 25C 10 05 m-25.csv,GTY029 I 25C 10,198.14,755.62,267.66,535.97,1054.4156693386378,10.1548,259.20829755386615,518.4456693386378,219.64999999999998,2.360326288816926,-25,25
GTY029 I 25C 10 05 m-35.csv,GTY029 I 25C 10,198.14,755.62,267.66,535.97,1045.6698478965222,11.8209,265.2151346344187,509.6998478965222,219.64999999999998,2.3205092096358855,-35,25
GTY029 I 25C 10 05 m-50.csv,GTY029 I 25C 10,198.14,755.62,267.66,535.97,1028.2114041535524,15.3459,277.61161111436934,492.24140415355237,219.64999999999998,2.241026196920339,-50,25
GTY029 I 25C 11 01 m-25.csv,GTY029 I 25C 11,255.28,699.62,199.5,542.2,1040.8529199032216,3.1412,226.62391729275438,498.6529199032216,157.41999999999996,3.167659254880077,-25,25
GTY029 I 25C 11 01 m-35.csv,GTY029 I 25C 11,255.28,699.62,199.5,542.2,1029.0719768773517,3.6674,232.2306391448983,486.8719768773517,157.41999999999996,3.092821603845457,-35,25
GTY029 I 25C 11 01 m-50.csv,GTY029 I 25C 11,255.28,699.62,199.5,542.2,996.2499188805518,4.931,241.26030419793148,454.0499188805518,157.41999999999996,2.884321680094981,-50,25
GTY029 I 25C 11 02 m-25.csv,GTY029 I 25C 11,284.62,687.66,272.51,542.2,1042.6991053426534,2.8469,203.72892795672485,500.49910534265337,145.45999999999992,3.440802319143776,-25,25
GTY029 I 25C 11 02 m-35.csv,GTY029 I 25C 11,284.62,687.66,272.51,542.2,1045.5257184579439,3.424,213.013726635514,503.3257184579438,145.45999999999992,3.4602345556025305,-35,25
GTY029 I 25C 11 02 m-50.csv,GTY029 I 25C 11,284.62,687.66,272.51,542.2,1036.0464899120539,4.6392,222.08500258665288,493.8464899120538,145.45999999999992,3.395067303121505,-50,25
GTY029 I 25C 11 03 m-25.csv,GTY029 I 25C 11,270.33,682.59,196.25,542.2,948.5696985766118,3.5829999999999997,180.65615685180015,406.36969857661177,140.39,2.894577238953001,-25,25
GTY029 I 25C 11 03 m-35.csv,GTY029 I 25C 11,270.33,682.59,196.25,542.2,946.5273937544025,4.259,182.67152852782343,404.32739375440246,140.39,2.8800298721732496,-35,25
GTY029 I 25C 11 03 m-50.csv,GTY029 I 25C 11,270.33,682.59,196.25,542.2,934.7641695501729,5.78,191.68335640138406,392.5641695501729,140.39,2.7962402560736015,-50,25
GTY029 I 25C 11 04 m-25.csv,GTY029 I 25C 11,259.41,726.31,278.33,542.2,1049.6388439360119,4.3008,216.19826543898813,507.43884393601184,184.1099999999999,2.756172092423074,-25,25
