filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Number of contained Mito,Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Compartment ROIs ID,ExtracellularBackground
PSY109 25C 03 m-35.csv,31,PSY109 25C,Mito 30,Mito,Object,359,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.93,1380.12,737.09,264613.91,193.1,NA,30.48,32.66,3.34,1,534.67
PSY109 25C 03 m-35.csv,39,PSY109 25C,Mito 38,Mito,Object,672,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.33,1558.94,742.66,499068.88,218.56,NA,31.46,30.12,3.65,1,534.67
PSY109 25C 03 m-50.csv,1,PSY109 25C,ROIs 1,ROIs,Object,244293,290.88,220,1956,392.82,95963048,132.97,23.5,26088.34,409.01,99918320,756.61,273.39,15504.59,628.67,154000000,259.66,6,NA,NA,NA,NA,534.67
PSY109 25C 03 m-50.csv,2,PSY109 25C,Mito 1,Mito,Object,366,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.3,1123.13,815.89,298614.75,93.65,NA,32.95,30.66,1.36,1,534.67
PSY109 25C 03 m-50.csv,19,PSY109 25C,Mito 18,Mito,Object,842,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.04,1700.86,869.4,732032.81,206.67,NA,32.28,33.68,2.35,1,534.67
PSY109 25C 03 m-50.csv,26,PSY109 25C,Mito 25,Mito,Object,2117,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.25,8334.55,884.27,1872006.5,349.97,NA,35.69,29.77,2.79,1,534.67
PSY109 25C 03 m-50.csv,28,PSY109 25C,Mito 27,Mito,Object,830,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.01,1558.94,741.34,615314.44,223.19,NA,31.47,30.12,3.64,1,534.67
PSY109 25C 03 m-50.csv,29,PSY109 25C,Mito 28,Mito,Object,753,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.47,1378.28,778,585835.94,159.45,NA,33.72,30.79,3.27,1,534.67
PSY109 25C 03 m-50.csv,30,PSY109 25C,Mito 29,Mito,Object,469,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.93,1380.12,738.69,346443.75,198.81,NA,30.5,32.66,3.35,1,534.67
PSY109 25C 04 m-25.csv,1,PSY109 25C,ROIs 1,ROIs,Object,202650,241.3,227,1350,347.22,70364707,76.72,88.18,10540.76,363.45,73653136,397.17,241.49,5545.69,604.76,123000000,121.92,8,NA,NA,NA,NA,534.67
PSY109 25C 04 m-25.csv,10,PSY109 25C,Mito 9,Mito,Object,10,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.34,1071.56,938.21,9382.07,65.08,NA,50,35.61,1.2,1,534.67
PSY109 25C 04 m-25.csv,13,PSY109 25C,Mito 12,Mito,Object,153,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.86,1433.83,867.63,132747.47,171.31,NA,50.25,36.02,2.33,1,534.67
PSY109 25C 04 m-25.csv,14,PSY109 25C,Mito 13,Mito,Object,61,0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.18,1316.8,1001.21,61073.55,167.56,NA,49.7,38.94,1.88,1,534.67
PSY109 25C 04 m-25.csv,18,PSY109 25C,Mito 17,Mito,Object,424,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612.55,1623.53,939.15,398198.31,162.53,NA,49.77,34.09,1.87,1,534.67
PSY109 25C 04 m-25.csv,23,PSY109 25C,Mito 22,Mito,Object,25,0.0298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677.1,952.38,793.04,19826.04,67.88,NA,50.23,38.59,2.27,1,534.67
PSY109 25C 04 m-25.csv,28,PSY109 25C,Mito 27,Mito,Object,312,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.33,3960.5,921.16,287403.06,476.97,NA,48.36,36.56,3.31,1,534.67
PSY109 25C 04 m-25.csv,44,PSY109 25C,Mito 43,Mito,Object,841,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.69,2045.32,864.22,726812.5,262.83,NA,49.49,40.17,2.69,1,534.67
PSY109 25C 04 m-25.csv,46,PSY109 25C,Mito 45,Mito,Object,39,0.0464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.18,909.6,730.09,28473.58,81.9,NA,48.9,34.98,3.98,1,534.67
PSY109 25C 04 m-35.csv,1,PSY109 25C,ROIs 1,ROIs,Object,202650,241.3,227,1350,347.22,70364707,76.72,88.18,10540.76,363.45,73653136,397.17,241.49,5545.69,604.76,123000000,121.92,6,NA,NA,NA,NA,534.67
PSY109 25C 04 m-35.csv,6,PSY109 25C,Mito 5,Mito,Object,18,0.0214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761.4,926.53,853.24,15358.41,51.53,NA,48.8,34.75,1.02,1,534.67
PSY109 25C 04 m-35.csv,7,PSY109 25C,Mito 6,Mito,Object,759,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.86,1623.53,909.64,690418.25,161.15,NA,49.89,34.61,1.95,1,534.67
PSY109 25C 04 m-35.csv,24,PSY109 25C,Mito 23,Mito,Object,378,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.33,3960.5,912.24,344827.78,469.53,NA,48.33,36.55,3.29,1,534.67
PSY109 25C 04 m-35.csv,32,PSY109 25C,Mito 31,Mito,Object,15,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.03,659.99,591.45,8871.8,49.63,NA,50.59,39.61,3.12,1,534.67
PSY109 25C 04 m-35.csv,41,PSY109 25C,Mito 40,Mito,Object,49,0.0583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.26,952,726.43,35595.24,99.43,NA,48.9,34.98,3.97,1,534.67
PSY109 25C 04 m-35.csv,42,PSY109 25C,Mito 41,Mito,Object,1128,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.69,2045.32,864.94,975647.81,249.62,NA,49.53,40.02,2.59,1,534.67
PSY109 25C 04 m-50.csv,1,PSY109 25C,ROIs 1,ROIs,Object,202650,241.3,227,1350,347.22,70364707,76.72,88.18,10540.76,363.45,73653136,397.17,241.49,5545.69,604.76,123000000,121.92,5,NA,NA,NA,NA,534.67
PSY109 25C 04 m-50.csv,10,PSY109 25C,Mito 9,Mito,Object,1226,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.03,1673.84,884.58,1084497.5,158.62,NA,49.8,34.62,1.83,1,534.67
PSY109 25C 04 m-50.csv,23,PSY109 25C,Mito 22,Mito,Object,507,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.21,3960.5,881.26,446797.13,436.48,NA,48.3,36.53,3.28,1,534.67
PSY109 25C 04 m-50.csv,31,PSY109 25C,Mito 30,Mito,Object,28,0.0333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.22,736.43,593.52,16618.57,62.34,NA,50.61,39.61,3.13,1,534.67
PSY109 25C 04 m-50.csv,38,PSY109 25C,Mito 37,Mito,Object,69,0.0822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.99,1038.82,718.49,49575.55,114.4,NA,48.9,34.98,3.95,1,534.67
PSY109 25C 04 m-50.csv,39,PSY109 25C,Mito 38,Mito,Object,1537,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.96,2045.32,853.91,1312466.38,239.91,NA,49.55,39.98,2.56,1,534.67
PSY109 25C 05 m-25.csv,1,PSY109 25C,ROIs 1,ROIs,Object,150087,178.71,219,1696,404.01,60636847,126.3,14.15,22736.45,433.34,65038232,719.48,289.28,1362.27,585.97,87946120,97.71,5,NA,NA,NA,NA,534.67
PSY109 25C 05 m-25.csv,12,PSY109 25C,Mito 11,Mito,Object,266,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.95,906.14,704.62,187428.5,70.36,NA,70.22,56.31,1.54,1,534.67
PSY109 25C 05 m-25.csv,24,PSY109 25C,Mito 23,Mito,Object,1280,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.19,1121.26,713.56,913350.75,105.79,NA,71.88,56.48,2.41,1,534.67
PSY109 25C 05 m-25.csv,39,PSY109 25C,Mito 38,Mito,Object,1015,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.88,1151.66,744.29,755455.94,135.75,NA,69.69,58.64,2.55,1,534.67
PSY109 25C 05 m-25.csv,43,PSY109 25C,Mito 42,Mito,Object,141,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.55,837.33,608.84,85846.45,75.75,NA,71.16,56.79,3.74,1,534.67
PSY109 25C 05 m-25.csv,45,PSY109 25C,Mito 44,Mito,Object,152,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.54,1012.76,671.51,102068.95,114.11,NA,70.38,57.56,3.98,1,534.67
PSY109 25C 05 m-35.csv,1,PSY109 25C,ROIs 1,ROIs,Object,150087,178.71,219,1696,404.01,60636847,126.3,14.15,22736.45,433.34,65038232,719.48,289.28,1362.27,585.97,87946120,97.71,5,NA,NA,NA,NA,534.67
PSY109 25C 05 m-35.csv,12,PSY109 25C,Mito 11,Mito,Object,1505,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.19,1121.26,710.74,1069664.5,106.38,NA,71.88,56.47,2.41,1,534.67
PSY109 25C 05 m-35.csv,13,PSY109 25C,Mito 12,Mito,Object,345,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.95,906.14,710.16,245004.58,73.41,NA,70.21,56.33,1.52,1,534.67
PSY109 25C 05 m-35.csv,36,PSY109 25C,Mito 35,Mito,Object,1159,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.88,1151.66,740.06,857732.19,134.05,NA,69.68,58.65,2.56,1,534.67
PSY109 25C 05 m-35.csv,40,PSY109 25C,Mito 39,Mito,Object,165,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.69,888.74,607.59,100251.91,80.46,NA,71.17,56.78,3.73,1,534.67
PSY109 25C 05 m-35.csv,43,PSY109 25C,Mito 42,Mito,Object,180,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.05,1012.76,664.17,119550.3,111.46,NA,70.39,57.56,4.02,1,534.67
PSY109 25C 05 m-50.csv,1,PSY109 25C,ROIs 1,ROIs,Object,150087,178.71,219,1696,404.01,60636847,126.3,14.15,22736.45,433.34,65038232,719.48,289.28,1362.27,585.97,87946120,97.71,4,NA,NA,NA,NA,534.67
PSY109 25C 05 m-50.csv,12,PSY109 25C,Mito 11,Mito,Object,498,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.95,926.69,713.5,355324.69,74.54,NA,70.2,56.33,1.51,1,534.67
PSY109 25C 05 m-50.csv,34,PSY109 25C,Mito 33,Mito,Object,1448,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.26,1151.66,732.22,1060255.75,132.11,NA,69.67,58.64,2.56,1,534.67
