filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 II 25C 10 05 m-35.csv,166000000,755.31,261.52,GTY029 II 25C 10,5039810.99,1096.6058277613358,5.4738,528.35,49848475.01469722,2612344.6292097084,0.052405708067087116,568.2558277613358,-35,25
GTY029 II 25C 10 05 m-50.csv,166000000,755.31,261.52,GTY029 II 25C 10,6513503.39,1089.4106254567944,7.1148,528.35,49848475.01469722,3352510.403964055,0.06725402137127781,561.0606254567944,-50,25
GTY029 II 25C 10 06 m-25.csv,143000000,729.98,233.32,GTY029 II 25C 10,5812381.78,1073.5945156783607,6.442,528.35,39509793.90274628,2949916.15856219,0.07466290929847509,545.2445156783607,-25,25
GTY029 II 25C 10 06 m-35.csv,143000000,729.98,233.32,GTY029 II 25C 10,6788524.33,1069.0716440964875,7.5616,528.35,39509793.90274628,3433879.889140841,0.08691211848873137,540.7216440964875,-35,25
GTY029 II 25C 10 06 m-50.csv,143000000,729.98,233.32,GTY029 II 25C 10,8725076.91,1050.8494435118519,9.8888,528.35,39509793.90274628,4339373.895187705,0.10983033487517331,522.4994435118518,-50,25
GTY029 II 25C 10 07 m-25.csv,114000000,706.6,192.31,GTY029 II 25C 10,3697073.88,1118.598717583647,3.9332,528.35,28789163.93717981,1949749.1022087845,0.06772510332232254,590.2487175836469,-25,25
GTY029 II 25C 10 07 m-35.csv,114000000,706.6,192.31,GTY029 II 25C 10,4156089.23,1098.3800894581454,4.5049,528.35,28789163.93717981,2156654.530948181,0.0749120236924618,570.0300894581454,-35,25
GTY029 II 25C 10 07 m-50.csv,114000000,706.6,192.31,GTY029 II 25C 10,5125680.56,1068.3781455921248,5.7091,528.35,28789163.93717981,2589295.9486016626,0.08993994942860123,540.0281455921248,-50,25
GTY029 II 25C 11 01 m-25.csv,107000000,703.83,181.26,GTY029 II 25C 11,2584840.9699999997,1027.3693591455274,2.996,525.12,27204984.12698413,1263743.2434702276,0.04645263667758378,502.24935914552736,-25,25
GTY029 II 25C 11 01 m-35.csv,107000000,703.83,181.26,GTY029 II 25C 11,3070118.69,1021.3175467485347,3.5829999999999997,525.12,27204984.12698413,1493134.971025447,0.054884610998336636,496.1975467485347,-35,25
GTY029 II 25C 11 01 m-50.csv,107000000,703.83,181.26,GTY029 II 25C 11,4098250.31,1010.6631055900622,4.83,525.12,27204984.12698413,1969575.2078609222,0.07239758709902486,485.54310559006217,-50,25
GTY029 II 25C 11 02 m-25.csv,141000000,725.29,231.27,GTY029 II 25C 11,4900937.96,1037.9078167960681,5.6156,525.12,38879076.08969513,2418418.7990257833,0.06220360775668698,512.7878167960681,-25,25
GTY029 II 25C 11 02 m-35.csv,141000000,725.29,231.27,GTY029 II 25C 11,5753703.51,1030.0323478130167,6.6530000000000005,525.12,38879076.08969513,2821182.371714118,0.07256299931627928,504.9123478130167,-35,25
GTY029 II 25C 11 02 m-50.csv,141000000,725.29,231.27,GTY029 II 25C 11,7508755.02,1012.1004654059564,8.831,525.12,38879076.08969513,3611761.5604266403,0.09289730939321202,486.98046540595635,-50,25
GTY029 II 25C 11 03 m-25.csv,112000000,725.58,183.63,GTY029 II 25C 11,3685702.94,999.0954999999999,4.4,525.12,30914982.615268335,1751484.1689762322,0.056654865078630406,473.9754999999999,-25,25
GTY029 II 25C 11 03 m-35.csv,112000000,725.58,183.63,GTY029 II 25C 11,4159089.5,992.39126252505,4.99,525.12,30914982.615268335,1958246.073738137,0.06334294597891818,467.27126252505,-35,25
GTY029 II 25C 11 03 m-50.csv,112000000,725.58,183.63,GTY029 II 25C 11,5229461.25,980.0325471698114,6.359999999999999,525.12,30914982.615268335,2429867.976820358,0.07859839376459139,454.91254716981143,-50,25
GTY029 II 25C 11 04 m-25.csv,130000000,695.5,222.74,GTY029 II 25C 11,3456437.77,1018.4406276606276,4.0404,525.12,31872378.600823045,1673983.9287813888,0.05252146222742727,493.32062766062757,-25,25
GTY029 II 25C 11 04 m-35.csv,130000000,695.5,222.74,GTY029 II 25C 11,4032831.27,1007.4717117117118,4.773,525.12,31872378.600823045,1933538.859494415,0.06066503174144917,482.3517117117118,-35,25
GTY029 II 25C 11 04 m-50.csv,130000000,695.5,222.74,GTY029 II 25C 11,5207225.34,990.3772955271564,6.26,525.12,31872378.600823045,2446049.1055681524,0.07674510698442154,465.25729552715643,-50,25
GTY029 II 25C 11 05 m-25.csv,151000000,714.66,251.77,GTY029 II 25C 11,2904605.25,1057.7654123396455,3.274,525.12,40077673.46938775,1464584.76526413,0.03654365731540813,532.6454123396455,-25,25
GTY029 II 25C 11 05 m-35.csv,151000000,714.66,251.77,GTY029 II 25C 11,3418032.71,1050.0890559954605,3.8771,525.12,40077673.46938775,1709378.959435626,0.04265165144232459,524.9690559954605,-35,25
GTY029 II 25C 11 05 m-50.csv,151000000,714.66,251.77,GTY029 II 25C 11,4513432.39,1028.348909716909,5.228,525.12,40077673.46938775,2209524.431006971,0.055131055266834705,503.228909716909,-50,25
GTY029 II 25C 12 01 m-25.csv,109000000,644.53,201.69,GTY029 II 25C 12,3893604.77,810.6681935709295,5.724,526.95,19916612.244897943,1363906.055261611,0.0684808258799638,283.71819357092943,-25,25
GTY029 II 25C 12 01 m-35.csv,109000000,644.53,201.69,GTY029 II 25C 12,4614383.99,806.3008358996921,6.819,526.95,19916612.244897943,1599809.64978584,0.08032539018756389,279.350835899692,-35,25
GTY029 II 25C 12 01 m-50.csv,109000000,644.53,201.69,GTY029 II 25C 12,6346843.82,794.8565797771706,9.514,526.95,19916612.244897943,2140642.6471823305,0.10748025923588993,267.9065797771706,-50,25
GTY029 II 25C 12 02 m-25.csv,112000000,680.84,196.74,GTY029 II 25C 12,2971215.39,825.3356684179802,4.2825,526.95,25427327.28647014,1073181.0069706894,0.042205812466248785,298.3856684179801,-25,25
GTY029 II 25C 12 02 m-35.csv,112000000,680.84,196.74,GTY029 II 25C 12,3519907.23,822.8024162257495,5.103,526.95,25427327.28647014,1267938.9266817835,0.049865206531417586,295.8524162257495,-35,25
