filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY027 25C 10 02 m-50.csv,GTY027 25C 10,343.93,814.91,164.61,685.37,914.2108725902594,10.0322,146.32600964893047,228.84087259025944,129.53999999999996,1.7665653280087965,-50,25
GTY027 25C 10 03 m-25.csv,GTY027 25C 10,283.72,801.85,232.52,685.37,951.0281735985534,7.742,156.74170240247997,265.6581735985534,116.48000000000002,2.2807192101524154,-25,25
GTY027 25C 10 03 m-35.csv,GTY027 25C 10,283.72,801.85,232.52,685.37,945.9017780647938,9.291,160.57449036702184,260.5317780647938,116.48000000000002,2.2367082594848364,-35,25
GTY027 25C 10 03 m-50.csv,GTY027 25C 10,283.72,801.85,232.52,685.37,938.6692442614515,14.5725,162.68992032938755,253.29924426145146,116.48000000000002,2.174615764607241,-50,25
GTY027 25C 10 04 m-25.csv,GTY027 25C 10,386.98,810.25,164.93,685.37,1020.9192854205548,3.1613,156.58415430360927,335.54928542055484,124.88,2.686973778191503,-25,25
GTY027 25C 10 04 m-35.csv,GTY027 25C 10,386.98,810.25,164.93,685.37,1012.8190361741264,4.0775,156.93463151440835,327.4490361741264,124.88,2.622109514526957,-35,25
GTY027 25C 10 04 m-50.csv,GTY027 25C 10,386.98,810.25,164.93,685.37,997.0290922001143,6.4783,159.91889832209066,311.6590922001143,124.88,2.495668579437174,-50,25
GTY027 25C 10 05 m-25.csv,GTY027 25C 10,329.49,803.74,173.77,685.37,942.2558321267778,5.0419,153.46158987683216,256.8858321267778,118.37,2.1701937325908407,-25,25
GTY027 25C 10 05 m-35.csv,GTY027 25C 10,329.49,803.74,173.77,685.37,941.857925636008,6.132,154.8878016960209,256.48792563600796,118.37,2.166832184134561,-35,25
GTY027 25C 10 05 m-50.csv,GTY027 25C 10,329.49,803.74,173.77,685.37,940.9165875548465,9.0252,156.07876168949164,255.5465875548465,118.37,2.158879678591252,-50,25
GTY027 25C 10 06 m-25.csv,GTY027 25C 10,254.17,842.63,351.78,685.37,1025.1625865961425,1.5503,140.8169741340386,339.79258659614254,157.26,2.160705752232879,-25,25
