filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 I 25C 11 07 m-35.csv,GTY030 I 25C 11,248.87,595.26,165.21,540.64,760.0021497637623,3.6404,371.9278815514778,219.36214976376232,54.620000000000005,4.0161506730824295,-35,25
GTY030 I 25C 11 07 m-50.csv,GTY030 I 25C 11,248.87,595.26,165.21,540.64,765.431067500539,4.6370000000000005,432.7383761052404,224.79106750053904,54.620000000000005,4.1155449926865435,-50,25
GTY030 I 25C 12 01 m-25.csv,GTY030 I 25C 12,152.17,668.21,275.04,538.55,2262.248404747226,0.6487999999999999,1409.2370745992603,1723.6984047472258,129.66000000000008,13.293987388147654,-25,25
GTY030 I 25C 12 01 m-35.csv,GTY030 I 25C 12,152.17,668.21,275.04,538.55,2221.119094387755,0.784,1452.1393239795918,1682.569094387755,129.66000000000008,12.976778454324803,-35,25
GTY030 I 25C 12 01 m-50.csv,GTY030 I 25C 12,152.17,668.21,275.04,538.55,2118.730012215339,1.1461,1405.1691074077307,1580.1800122153388,129.66000000000008,12.187104829672512,-50,25
GTY030 I 25C 12 02 m-25.csv,GTY030 I 25C 12,270.14,603.95,153.95,538.55,730.8636237870118,2.0095,116.56628365264991,192.3136237870118,65.40000000000009,2.940575287263173,-25,25
GTY030 I 25C 12 02 m-35.csv,GTY030 I 25C 12,270.14,603.95,153.95,538.55,728.1795020856201,2.2775,117.53828759604829,189.62950208562017,65.40000000000009,2.8995336710339434,-35,25
GTY030 I 25C 12 02 m-50.csv,GTY030 I 25C 12,270.14,603.95,153.95,538.55,722.9419728128269,2.8689999999999998,120.19385500174278,184.3919728128269,65.40000000000009,2.819449125578389,-50,25
GTY030 I 25C 12 03 m-25.csv,GTY030 I 25C 12,276.91,614.73,144.2,538.55,786.9523139377537,2.217,235.201799729364,248.40231393775377,76.18000000000006,3.2607287206321023,-25,25
GTY030 I 25C 12 03 m-35.csv,GTY030 I 25C 12,276.91,614.73,144.2,538.55,779.508429817605,2.5220000000000002,232.26643933386197,240.95842981760507,76.18000000000006,3.1630143058231144,-35,25
